description,hs_code,norms,occurrence_count,total_quantity,total_cif_value,sample_licenses,current_item_names,suggested_item_name
BALL BEARING Qty 2728.-TAPPER ROLLER BEARING Qty 3720.-NEEDLE ROLLER BEARING Qty 3720.-CYLINDER ROLLER BEARING Qty. 1240.Dia 10mm-175mm hsn 8482 NET TO NET,84821020,C969,1,11408.000,0.00,3011003820,BEARING,
Food Colour - (Caramel),17029040,E5,1,8.090,0.00,0311025300,FOOD COLOUR,
"BALL BEARING QTY. 6446.,-TAPPER ROLLER BEARING QTY 586.,-NEEDLE ROLLER BEARING QTY. 2051. (Dia 10 mm-175 mm)-HS 8482) NET TO NET",84821020,C969,1,9083.000,0.00,3011003837,BEARING,
Clutch Assembly (Including Split),87089300,C969,1,18.000,0.00,3011003837,CLUTCH ASSEMBLY,
BALL BEARING QTY. 540.-TAPPER ROLLER BEARING QTY 720.-NEEDLE ROLLER BEARING QTY. 108-CYLINDERICAL ROLLER BEARING QTY. 108 Dia 10mm-175mm hsn 8482 NET TO NET,84821020,C969,1,1476.000,0.00,3011003837,BEARING,
Hot Rolled Non Alloy Steel Strips/ Wide Coils / Sheets (Hs Code 7208) width of 600 mm or More,72083790,,1,11394.420,4393511.04,0311025240,HOT ROLLED STEEL,
Hot Rolled Non Alloy Steel Strips/ Wide Coils / Sheets (Hs Code 7208) width of 600 mm or More,72083990,,1,4257.150,1617536.93,0311025240,HOT ROLLED STEEL,
Hot Rolled Non Alloy Steel Strips/ Wide Coils / Sheets (Hs Code 7208) width of 600 mm or More,72083890,,1,329.180,126306.49,0311025240,HOT ROLLED STEEL,
Food Flavour - Fruit & Nut flavour (HS Code 0802/2009),08029900,E5,1,2181.070,0.00,0311025117,"FOOD FLAVOUR - E5, JUICE - E5",
BALL BEARING Qty 3432.-TAPPER ROLLER BEARING Qty 4680.-NEEDLE ROLLER BEARING Qty 4680.-CYLINDER ROLLER BEARING Qty. 1560.Dia 10mm-175mm hsn 8482 NET TO NET,84821020,C969,1,14352.000,0.00,3011003916,BEARING,
"BALL BEARING Qty 2200.,-TAPPER ROLLER BEARING Qty 3000.,-NEEDLE ROLLER BEARING Qty 3000.,-CYLINDER ROLLER BEARING Qty. 1000.Dia 10mm-175mm hsn 8482 NET TO NET",84821020,C969,1,9200.000,0.00,3011003915,BEARING,
"BALL BEARING QTY 3201.,-TAPPER ROLLER BEARING QTY 4365.,-NEEDLE ROLLER BEARING QTY 4365.,-CYLINDER ROLLER BEARING QTY 1455.Dia 10mm-175mm hsn 8482 NET TO NET",84821020,C969,1,13386.000,0.00,3011003917,BEARING,
"BALL BEARING QTY. 484.,-TAPPER ROLLER BEARING QTY. 660,-NEEDLE ROLLER BEARING QTY. 660,-CYLINDER ROLLER BEARING QTY. 220 Dia 10mm-175mm hsn 8482 NET TO NET",84821020,C969,1,2024.000,0.00,3011003917,BEARING,
"BALL BEARING QTY. 44.,-TAPPER ROLLER BEARING QTY. 4.,-NEEDLE ROLLER BEARING QTY. 14. Dia 10mm-175mm hsn 8482 NET TO NET",84821020,C969,1,62.000,0.00,3011003917,BEARING,
Anti oxidant Butyl Hydroxy Quinone (TBHQ),29072200,E5,1,17.010,0.00,0311025826,ANTI OXIDANT,
GLASS FORMERS NAMELY (A) SILICA (OTHER THAN FUMED SILICA) (B) BORAX /  BORIC ACID (NOT EXCEEDING 0.10 PER KG OF EXPORT PRODUCT) (C)  PHOSPHORIC ACID (D) ARSENIC TRIOXIDE (E) RUTILE,28110000,A3627,1,1440412.570,0.00,0310679840,RUTILE,
MODIFIERS NAMELY (A) MAGNESIUM OXIDE (B) SODA ASH (C) SODIUM NITRATE (D)POTASH (E) POTASSIUM NITRATE,28200000,A3627,1,557579.060,0.00,0310679840,"SODA ASH, SODIUM NITRATE",
HOT ROLLED NON ALLOY STEEL STRIPS / SHEETS /WIDE COILS (HS Code 7208) WIDTH OF 600MM OR MORE,72083790,C471,1,214.260,85622.10,0311025135,HOT ROLLED STEEL,
FOOD FLAVOUR - FRUIT & NUT FLAVOURS (HS CODE CODE - 0802),08029900,E5,1,11429.870,0.00,0311025971,FOOD FLAVOUR - E5,
"Milk & Milk Products (Milk Solids (Code 3502, 0406)",35022000,E5,1,50005.670,0.00,0311025971,CHEESE,
"BALL BEARING QTY. 5368.,-TAPPER ROLLER BEARING QTY 488.-NEEDLE ROLLER BEARING QTY. 1708.,(Dia 10 mm-175 mm)-HS 8482) NET TO NET",84821020,C969,1,7564.000,0.00,3011003976,BEARING,
"BALL BEARING QTY. 416.,-TAPPER ROLLER BEARING QTY. 544.,-NEEDLE ROLLER BEARING QTY. 416,-CYLINDER ROLLER BEARING QTY. 32 (Dia 10 mm-175 mm)-HS 8482) NET TO NET",84821020,C969,1,1408.000,0.00,3011003976,BEARING,
"BALL BEARING QTY. 900..-TAPPER ROLLER BEARING QTY 1200.,-NEEDLE ROLLER BEARING QTY. 180-CYLINDERICAL ROLLER BEARING QTY. 180 Dia 10mm-175mm hsn 8482 NET TO NET",84821020,C969,1,2460.000,0.00,3011003976,BEARING,
Fats and Oils namely Salad Oil (HS Code 1509) Palm Based Oil,15119020,E126,1,15442.500,0.00,3111002557,RBD PALMOLEIN OIL,
Food Additives - Spices and condiments (HS Code 0904),09083110,E126,1,5435.760,0.00,3111002557,FOOD ADDITIVES - E126,
"Sanitation and cleaning chemicals, Soda Ash",28362010,E126,1,1235.400,0.00,3111002557,"SANITATION AND CLEANING CHEMICALS - E126, SODA ASH",
Vegetable Shortening /Cream /Fat Powder (HS Code - 21069099) / Spray Fats - Edible Vegetable Oil (HS Code 1509),15132110,E5,1,88156.170,0.00,0311026206,"PALM KERNEL OIL, RBD PALMOLEIN OIL, VEGETABLE SHORTENING",
Packing Materials:- PP Film Grade,39021000,E126,1,13018.220,0.00,3111002557,PP,
"BALL BEARING QTY 2541,-TAPPER ROLLER BEARING QTY 3465,-NEEDLE ROLLER BEARING QTY 3465-CYLINDER ROLLER BEARING QTY 1155 Dia 10mm-175mm hsn 8482 NET TO NET",84821020,C969,1,10626.000,0.00,3011004026,BEARING,
"BALL BEARING QTY. 352.,-TAPPER ROLLER BEARING QTY. 480,-NEEDLE ROLLER BEARING QTY. 480,-CYLINDER ROLLER BEARING QTY. 160, Dia 10mm-175mm hsn 8482 NET TO NET",84821020,C969,1,1472.000,0.00,3011004026,BEARING,
"BALL BEARING QTY. 1760.,-TAPPER ROLLER BEARING QTY. 160.,-NEEDLE ROLLER BEARING QTY. 560. Dia 10mm-175mm hsn 8482 NET TO NET",84821020,C969,1,2480.000,0.00,3011004026,BEARING,
Vegetable Shortening /Cream /Fat / Spray Fats - Edible vegetable Oil (HS Code 1509),15132110,E5,1,84031.610,0.00,0311026545,"PALM KERNEL OIL, RBD PALMOLEIN OIL, VEGETABLE SHORTENING",
"Food Flavour-Fruit and Nut Flavour (HS Code – 0802, 2009 & 0908)",20091100,E5,1,7469.480,0.00,0311026545,"FOOD FLAVOUR - E5, JUICE - E5",
BALL BEARING QTY. 80300.-TAPPER ROLLER BEARING QTY 730.-NEEDLE ROLLER BEARING QTY. 2555. (Dia 10 mm-175 mm)-HS 8482) NET TO NET,84821020,C969,1,11315.000,0.00,3011004087,BEARING,
"BALL BEARING QTY. 1221.,-TAPPER ROLLER BEARING QTY. 1665,-NEEDLE ROLLER BEARING QTY. 1665,-CYLINDER ROLLER BEARING QTY. 555 Dia 10mm-175mm hsn 8482 NET TO NET",84821020,C969,1,5106.000,0.00,3011004088,BEARING,
BALL BEARING QTY. 377.-TAPPER ROLLER BEARING QTY. 493.-NEEDLE ROLLER BEARING QTY. 377-CYLINDER ROLLER BEARING QTY. 29 (Dia 10 mm-175 mm)-HS 8482) NET TO NET,84821020,C969,1,1276.000,0.00,3011004087,BEARING,
BALL BEARING QTY. 2445.-TAPPER ROLLER BEARING QTY 3260.-NEEDLE ROLLER BEARING QTY. 489-CYLINDERICAL ROLLER BEARING QTY. 489. Dia 10mm-175mm hsn 8482 NET TO NET,84821020,C969,1,6683.000,0.00,3011004087,BEARING,
"BALL BEARING QTY. 2420.,-TAPPER ROLLER BEARING QTY. 220.,-NEEDLE ROLLER BEARING QTY. 770.,Dia 10mm-175mm hsn 8482 NET TO NET",84821020,C969,1,3410.000,0.00,3011004088,BEARING,
Packing Material - PP / BOPP Film (HS Code 3920),39021000,E5,1,14105.390,0.00,0311026999,"BOPP, PP",
"Chickpeas (07132090), Green Peas (07131020), Lentiles (07134000)",07132090,E132,1,736092.620,3000424.94,0511020372,CEREALS FLAKES,
"Chickpeas (0713), lentils (0713), Green Peas (0713),",07131020,E132,1,278895.020,1198437.61,0511021164,CEREALS FLAKES,
"Natural Flavours like Citric Acid, Tartaric Acid, Black Pepper (HSN 0904), Cardamom (HSN 0908), Asafoetida (HSN 1301), Cloves (HSN 0907), Nutmeg (HSN 0908), Tomato Powder (HSN 0712), Cheese (HSN 0406)",09083110,E132,1,13686.300,0.00,5211005814,"CHEESE, FOOD FLAVOUR - E132",
Other Confectionery,15119020,E1,1,3347.540,0.00,0910061671,RBD PALMOLEIN OIL,
iii) Relevant (Food Flavour / Flavouring Agent / Flavour improvers ITCHS 29124200 Ethyl Vanillin 33021090  Butter,29124200,E5,1,5771.000,0.00,0910060663,FOOD FLAVOUR - E5,
"iii)Relevant (Food Flavour/Flavouring agent/Flavour improvers ITCHS 29124200 Ethyl Vanillian  = 2500Kg, ITCHS 33021010 Orange = 2000 kg, ITCHS 33021010 Chocolate = 1114.892 Kg",29124200,E5,1,5614.850,0.00,0910060195,FOOD FLAVOUR - E5,
vii) Fruit/Coco Powder (Cocoa :Powder),18050000,E5,1,5914.750,0.00,0910060663,FRUIT/COCOA - E5,
a) HDPE/PP/Granules Film Grade (HDPE Granules),39021000,E5,1,29995.200,0.00,0910060663,"HDPE, PP",
Citric acid / Tartaric acid/Malic acid (Food Grade Relevant),29181400,E1,1,9000.000,0.00,0910057626,CITRIC ACID / TARTARIC ACID - E1,
Emulsifier/Stabilizer/Glazing agent/Binders/Thickners (item as per PFA Act 1955),29157030,E1,1,300.000,0.00,0910057626,EMULSIFIER - E1,
"OTHER CONFECTIONERY-Edible oils and fats, Fruits & Fruit products, nut and nut products, tea extracts etc.",15162091,E1,1,15000.000,0.00,0910057626,,
a) HDPE/PP/Granules Film Grade,39020000,E1,1,15000.000,0.00,0910057626,HDPE,
Food Flavour-Fruit and Nut Flavour,20091100,E5,1,15119.210,0.00,0311027572,"FOOD FLAVOUR - E5, JUICE - E5",
Fruit- Juice (HS Code:2009),20091900,E1,1,40308.180,0.00,0311027598,FRUIT JUICE - E1,
Food colour  :- caramel,32041981,E1,1,26.870,0.00,0311027598,FOOD COLOUR,
Packing Material - Polypropylene,39021000,E1,1,16141.340,0.00,0311027598,PP,
"Chickpeas (HS Code 0713), lentils (HS Code 0713), Green Peas (HS Code 0713), Cereal Flakes (HS Code 1904, 1104)",07131020,E132,1,898257.120,3649283.03,0511021165,CEREALS FLAKES,
Edible Vegetable oil such as Frying Fat- Palmolein Oil (Olive oil is not permitted,15119020,E132,1,419186.660,0.00,0511021165,"EDIBLE VEGETABLE OIL - E132, RBD PALMOLEIN OIL",
"BALL BEARING QTY. 5918.,-TAPPER ROLLER BEARING QTY 538.,-NEEDLE ROLLER BEARING QTY. 1853. (Dia 10 mm-175 mm)-HS 8482) NET TO NET",84821020,C969,1,8339.000,0.00,3011004230,BEARING,
"BALL BEARING QTY 2178, -TAPPER ROLLER BEARING QTY 2970,-NEEDLE ROLLER BEARING QTY 29700-CYLINDER ROLLER BEARING QTY 990 Dia 10mm-175mm hsn 8482 NET TO NET",84821020,C969,1,9108.000,0.00,3011004226,BEARING,
"BALL BEARING QTY. 364.,-TAPPER ROLLER BEARING QTY. 476.,-NEEDLE ROLLER BEARING QTY. 364,-CYLINDER ROLLER BEARING QTY. 28. (Dia 10 mm-175 mm)-HS 8482) NET TO NET",84821020,C969,1,1232.000,0.00,3011004230,BEARING,
"BALL BEARING QTY. 264.,-TAPPER ROLLER BEARING QTY. 360,-NEEDLE ROLLER BEARING QTY. 360,-CYLINDER ROLLER BEARING QTY. 120,Dia 10mm-175mm hsn 8482 NET TO NET",84821020,C969,1,1104.000,0.00,3011004226,BEARING,
"BALL BEARING QTY. 1716.,-TAPPER ROLLER BEARING QTY. 156.,-NEEDLE ROLLER BEARING QTY. 546.Dia 10mm-175mm hsn 8482 NET TO NET",84821020,C969,1,2418.000,0.00,3011004226,BEARING,
"BALL BEARING QTY. 450.,-TAPPER ROLLER BEARING QTY 600.,-NEEDLE ROLLER BEARING QTY. 90,-CYLINDERICAL ROLLER BEARING QTY. 90. Dia 10mm-175mm hsn 8482 NET TO NET",84821020,C969,1,1230.000,0.00,3011004230,BEARING,
Modifiers namely:- (a) Magnesium Oxide 25199040 (b) Soda Ash 28362010 (c) Sodium Nitrate 28342990 (d) Potash 28152000 (e) Potassium Nitrate 28342100,28342100,A3627,1,465841.050,0.00,5211005900,"SODA ASH, SODIUM NITRATE",
Packing Material :- PP (146829.64) / Wooden Pallet (3374 pcs.)(1 pallet = 25 kgs.),39021000,A3627,1,236282.820,0.00,5211006128,PP,
Nut and Nuts Product (HSN 0802)/ Yeast Extract/Black Pepper Relevant Food Additives for Pickles FDA approved,09083190,E126,1,22307.680,0.00,5211006125,"FOOD ADDITIVES - E126, LEAVENING AGENT",
"BALL BEARING QTY 5410, -TAPPER ROLLER BEARING QTY 4650,-NEEDLE ROLLER BEARING QTY 4650,-CYLINDER ROLLER BEARING QTY 1550 Dia 10mm-175mm hsn 8482 NET TO NET",84821020,C969,1,14260.000,0.00,3011004358,BEARING,
BALL BEARING QTY. 5962.-TAPPER ROLLER BEARING QTY 542.-NEEDLE ROLLER BEARING QTY. 1897. Dia 10mm-175mm hsn 8482 NET TO NET,84821020,C969,1,8401.000,0.00,3011004359,BEARING,
"BALL BEARING QTY. 594.,-TAPPER ROLLER BEARING QTY. 810,-NEEDLE ROLLER BEARING QTY. 810,-CYLINDER ROLLER BEARING QTY. 270 ,Dia 10mm-175mm hsn 8482 NET TO NET",84821020,C969,1,2484.000,0.00,3011004358,BEARING,
"BALL BEARING QTY. 962.-TAPPER ROLLER BEARING QTY. 1258.,-NEEDLE ROLLER BEARING QTY. 962,-CYLINDER ROLLER BEARING QTY. 74(Dia 10 mm-175 mm)-HS 8482) NET TO NET",84821020,C969,1,3256.000,0.00,3011004359,BEARING,
"BALL BEARING QTY. 792., -TAPPER ROLLER BEARING QTY. 72.,-NEEDLE ROLLER BEARING QTY. 252..Dia 10mm-175mm hsn 8482 NET TO NET",84821020,C969,1,1116.000,0.00,3011004358,BEARING,
"BALL BEARING QTY. 975.,-TAPPER ROLLER BEARING QTY 1300.,-NEEDLE ROLLER BEARING QTY. 195,-CYLINDERICAL ROLLER BEARING QTY. 195 Dia 10mm-175mm hsn 8482 NET TO NET",84821020,C969,1,2665.000,0.00,3011004359,BEARING,
Vegetable Shortening / Cream / Fats / Spray Fats - Edible Vegetable Oil (HS Code 1513 / 1509),15132110,E5,1,61457.870,0.00,0311028284,"PALM KERNEL OIL, RBD PALMOLEIN OIL, VEGETABLE SHORTENING",
"Food Flavour - Fruit & Nut Flavour (HS Code 2009, 0908)",20091100,E5,1,5462.920,0.00,0311028284,"FOOD FLAVOUR - E5, JUICE - E5",
"Milk & Milk Products / Milk Solids (HS Code 0406,3502)",35022000,E5,1,23900.280,0.00,0311028284,CHEESE,
Packing Material - PP Film Grade / BOPP,39021000,E5,1,21443.330,0.00,0311028284,"BOPP, PP",
Food Flavour - Fruit & Fruit Products (HS Code 2009),20093900,E5,1,12176.480,0.00,0311027872,"FOOD FLAVOUR - E5, JUICE - E5",
"Other Confectionery ingredients -edible molasses, malt extracts, edible oils and fats, fruits and fruit products",08029900,E1,1,1350.000,0.00,0311028488,OTHER CONFECTIONERY INGREDIENTS - E1,
Packing Material:- Polypropylene Film Grade,39021000,E1,1,1443.750,0.00,0311028488,PP,
Milk & Milk Products (0406) / Milk Solids (HS Code - 3502),35022000,E5,1,6251.780,0.00,0311028539,CHEESE,
Nut and Nuts Product (HSN 0802)/ Yeast Extract/Black Pepper Relevant Food Additives for Pickles FDA approved,09041140,E126,1,23506.240,0.00,5211006339,"FOOD ADDITIVES - E126, LEAVENING AGENT",
"Packing Material :- PP (87,822.51) / Wooden Pallet (3604 pcs.)(1 pallet = 25 kgs.)",39021000,A3627,1,174318.510,0.00,5211006446,PP,
"Packing Material :- PP (68,060.94) / Wooden Pallet (61,660.50)",39021000,A3627,1,129721.440,0.00,5211006441,PP,
"Packing Material :- PP (1,06,034.11) / Wooden Pallet (3460 pcs.)(1 pallet = 25 kgs.)",39021000,A3627,1,193399.110,0.00,5211006445,PP,
"Packing Material :- PP (91,801.07) / Wooden Pallet (66,963.00)",39021000,A3627,1,158764.070,0.00,5211006440,PP,
Vegetable Shortening / Cream / Fat Powder / Spray Fats- Edible vegetable oil (HS Code 15000000),15132110,E5,1,84543.660,0.00,0311028815,"PALM KERNEL OIL, RBD PALMOLEIN OIL, VEGETABLE SHORTENING",
Relevant Fats & Oils namely sesame oil / Mustard Oil / Gingelly Oil/ Salad Oil (HS Code 1509)/ Palm based Oil (HS Code 1513)/ Ground- nut oil/ Sunflower Oil.,15119020,E126,1,46872.500,169963.82,5211006537,"PALM KERNEL OIL, RBD PALMOLEIN OIL",
Relevant Food additives for pickles and Chutney FDA Approved,09083110,E126,1,16499.120,0.00,5211006537,FOOD ADDITIVES - E126,
"Sanitation and cleaning chemicals (Organic and Inorganic Acids and Alkali, Surfactants Biocides such as Hydrogen Peroxide, Soda Ash, Infectants.)",28362010,E126,1,3749.800,0.00,5211006537,"SANITATION AND CLEANING CHEMICALS - E126, SODA ASH",
Packing Material:-PP(153433.03 KGS) / Wooden Pallets (106883.25),39021000,A3627,1,260316.280,0.00,5211006539,PP,
"BALL BEARING QTY. 5456.,-TAPPER ROLLER BEARING QTY 496.,-NEEDLE ROLLER BEARING QTY. 1736.(Dia 10 mm-175 mm)-HS 8482) NET TO NET",84821020,C969,1,7688.000,0.00,3011004502,BEARING,
"BALL BEARING QTY. 8668.,-TAPPER ROLLER BEARING QTY 788.,-NEEDLE ROLLER BEARING QTY. 2758. (Dia 10 mm-175 mm)-HS 8482) NET TO NET",84821020,C969,1,12214.000,0.00,3011004500,BEARING,
Brake Assembly (Prime) (HS Code - 8708),87089300,C969,1,394.000,0.00,3011004500,BRAKE ASSEMBLY,
"BALL BEARING QTY.13520.,-TAPPER ROLLER BEARING QTY. 1768.,-NEEDLE ROLLER BEARING QTY. 1352,,-CYLINDER ROLLER BEARING QTY. 104 (Dia 10 mm-175 mm)-HS 8482) NET TO NET",84821020,C969,1,4576.000,0.00,3011004502,BEARING,
"BALL BEARING QTY. 795.,-TAPPER ROLLER BEARING QTY 1060.,-NEEDLE ROLLER BEARING QTY. 159,-CYLINDERICAL ROLLER BEARING QTY. 159 . Dia 10mm-175mm hsn 8482 NET TO NET",84821020,C969,1,2173.000,0.00,3011004500,BEARING,
"BALL BEARING QTY. 2490,-TAPPER ROLLER BEARING QTY 3320.,-NEEDLE ROLLER BEARING QTY. 498-CYLINDERICAL ROLLER BEARING QTY. 498 Dia 10mm-175mm hsn 8482 NET TO NET",84821020,C969,1,6806.000,0.00,3011004502,BEARING,
Packing Material:-Wooden Sheet /pallets 44151000 / PP,39021000,A3627,1,242713.710,0.00,5211006702,PP,
coco powder,08105000,E5,1,2026.610,0.00,0311029303,FRUIT/COCOA - E5,
Milk & Milk Products  (0406)/Milk Solids (3502),35022000,E5,1,15762.560,0.00,0311029303,CHEESE,
FOOD FLAVOUR / FRUIT FLAVOURS,20091100,E5,1,669.290,0.00,0311029412,"FOOD FLAVOUR - E5, JUICE - E5",
Food Flavour - Fruit & Fruit Products (HSN Code 2009),20091100,E5,1,5892.210,0.00,0311028889,"FOOD FLAVOUR - E5, JUICE - E5",
Packing Material:-(A) PP(117149.32) (B) Wooden Sheet Pallets (4065*25) 101625.00,39021000,A3627,1,219790.570,0.00,5211006846,PP,
emulsifier,13023900,E5,1,2053.860,0.00,5211006864,EMULSIFIER - E5,
Fats-Edible vegetable Oil (1509) / RBD Palmolein,15119020,E5,1,5756.400,0.00,0311029891,RBD PALMOLEIN OIL,
Emulsifier / Soya Lecithin,13023990,E5,1,31.980,0.00,0311029891,EMULSIFIER - E5,
Relevant Flavour improvers :- Fruits Flavours,20091100,E5,1,511.680,0.00,0311029891,"FOOD FLAVOUR - E5, JUICE - E5",
EDIBLE VEGETABLES OIL (HS CODE 1513/1516/1509),15119020,E5,1,160807.890,0.00,0311030002,"PALM KERNEL OIL, RBD PALMOLEIN OIL",
Food Flavour - Fruit Flavour (HS Code Code - 2009/0908),20091100,E5,1,14294.030,0.00,0311030002,"FOOD FLAVOUR - E5, JUICE - E5",
Edible Vegetable Oil (15000000),15119020,E5,1,36507.890,0.00,3111004302,RBD PALMOLEIN OIL,
Vegetable shortening/Cream/Fats/Spray fats - Vegetable Oil - PKO,15119020,E5,1,13823.640,0.00,5611002534,"RBD PALMOLEIN OIL, VEGETABLE SHORTENING",
Emulsifier Lecitihin,29232010,E5,1,202.820,0.00,3111004302,EMULSIFIER - E5,
Food Flavour - Vanillin,29124100,E5,1,3245.150,0.00,3111004302,FOOD FLAVOUR - E5,
Starch Maize,11081200,E5,1,1014.110,0.00,3111004302,"STARCH 1108, STARCH 3505",
Other confectionery Ingredients - Edible Vegetable oil,15119020,E1,1,4050.000,0.00,5611002533,"OTHER CONFECTIONERY INGREDIENTS - E1, RBD PALMOLEIN OIL",
"Other Confectionery Ingredients-edible molasses,malt extracts, ebible oils and fats, fruits products nut & nut products",08029000,E1,1,1317.060,0.00,5611002535,OTHER CONFECTIONERY INGREDIENTS - E1,
"Packing Materia :- Paper Board, GSM ( 150 To 350)",48101990,E1,1,2368.530,0.00,5611002535,PAPER BOARD,
"BALL BEARING Qty 3520.,-TAPPER ROLLER BEARING Qty 4800. -NEEDLE ROLLER BEARING Qty 4800.,-CYLINDER ROLLER BEARING Qty. 1600.. Dia 10mm-175mm hsn 8482 NET TO NET",84821020,C969,1,14720.000,0.00,3011004657,BEARING,
Vegetable Shortening / Cream / Fats / Spray Fats - Edible Vegetable Oil (HS CODE 1513/1509),15119020,E5,1,34831.360,0.00,0311030184,"PALM KERNEL OIL, RBD PALMOLEIN OIL, VEGETABLE SHORTENING",
"BALL BEARING QTY 3080,-TAPPER ROLLER BEARING QTY 4200,-NEEDLE ROLLER BEARING QTY 4200,-CYLINDER ROLLER BEARING QTY 1400 Dia 10mm-175mm hsn 8482 NET TO NET",84821020,C969,1,12880.000,0.00,3011004633,BEARING,
BALL BEARING Qty 3223.-TAPPER ROLLER BEARING Qty 4595.-NEEDLE ROLLER BEARING Qty 4395.-CYLINDER ROLLER BEARING Qty. 1465. Dia 10mm-175mm hsn 8482 NET TO NET,84821020,C969,1,13478.000,0.00,3011004632,BEARING,
Emulsifier (GMS),13023990,E5,1,193.510,0.00,0311030184,EMULSIFIER - E5,
Food Flavour - Fruit Flavour (HS Code 2009/0908),20091100,E5,1,3096.120,0.00,0311030184,"FOOD FLAVOUR - E5, JUICE - E5",
BALL BEARING QTY. 220.-TAPPER ROLLER BEARING QTY. 300-NEEDLE ROLLER BEARING QTY. 300-CYLINDER ROLLER BEARING QTY. 100Dia 10mm-175mm hsn 8482 NET TO NET,84821020,C969,1,0.000,0.00,3011004633,BEARING,
"BALL BEARING QTY. 1320., -TAPPER ROLLER BEARING QTY. 120.,-NEEDLE ROLLER BEARING QTY. 420.Dia 10mm-175mm hsn 8482 NET TO NET",84821020,C969,1,1860.000,0.00,3011004633,BEARING,
"CHICKPEAS,LENTILS,CEREALS FLAKES (HS CODE 1104),GREEN PEAS",07132010,E132,1,51855.990,186185.34,0311030281,CEREALS FLAKES,
Edible Vegetable Oil such as Mustard Oil/Sunflower Oil/Palm based oil / Frying Fats,15141920,E132,1,24199.460,0.00,0311030281,EDIBLE VEGETABLE OIL - E132,
"Relevant Food Additives as Approved by FSSAI-ocopherol, Lecithin, Methyl Cellolose, Carboxy Methyl Cellulose",39139090,E132,1,864.270,0.00,0311030281,RELEVANT ADDITIVES DESCRIPTION,
"Relevant Flavours - Natural Flavours like Citric Acid, Tartaric Acid, Chilli, Garlic, Cardamon",09083190,E132,1,5185.600,0.00,0311030281,FOOD FLAVOUR - E132,
Packing Materials  / PP / HDPE / LDPE / Paper & Paper Board / BOPP FILM / Aluminium Foil,39021000,E132,1,4321.330,0.00,0311030281,"ALUMINIUM FOIL, BOPP, HDPE, LDPE, PAPER BOARD, PP",
FRUIT - JUICE - ORANGE (HSN 2009),20091900,E1,1,8578.470,0.00,0311030331,FRUIT JUICE - E1,
Food Flavour - Fruit  Flavours (HS Code 2009 / 0908),20093900,E5,1,1316.670,0.00,0311030332,"FOOD FLAVOUR - E5, JUICE - E5",
emulsifier/ stabilizer/ glazing agent/ binders/ thickners,13023990,E1,1,57.190,0.00,0311030331,EMULSIFIER - E1,
"Other Confectionery Ingredients-edible molasses,malt extracts, ebible oils and fats, fruits products nut & nut products, (HSN 0802)",08029900,E1,1,2859.490,0.00,0311030331,OTHER CONFECTIONERY INGREDIENTS - E1,
Food Flavour: Fruit & Nut Flavour (HS Code 0802 / 0908),20091100,E5,1,7173.750,0.00,0311030356,"FOOD FLAVOUR - E5, JUICE - E5",
Edible Vegetables Oil  (HS Code 1513/1509),15132110,E5,1,140787.460,0.00,0311030594,PALM KERNEL OIL,
FOOD FLAVOUR - FRUIT AND NUT FLAVOURS (HS CODE CODE- 0802 / 0908),08029900,E5,1,12514.440,0.00,0311030594,FOOD FLAVOUR - E5,
FRUIT JUICE (ORANGE) HS CODE 2009,20091900,E1,1,8350.500,0.00,0311030640,FRUIT JUICE - E1,
FOOD FLAVOUR / FRUIT JUICE (HS CODE 2009),20093900,E5,1,9298.560,0.00,0311029645,"FOOD FLAVOUR - E5, JUICE - E5",
Vegetable Shortening /Cream /Fats / Spray Fats / Edible Vegetable Oil,15132110,E5,1,33230.610,0.00,0311030657,"PALM KERNEL OIL, RBD PALMOLEIN OIL, VEGETABLE SHORTENING",
"Packing Material: - Paper & Paper Board, GSM (200 TO 350)",48101990,E1,1,286.100,0.00,0311021589,"PAPER BOARD, PP",
BALL BEARING QTY. 2882.-TAPPER ROLLER BEARING QTY 262.-NEEDLE ROLLER BEARING QTY. 917. (Dia 10 mm-175 mm)-HS 8482) NET TO NET,84821020,C969,1,4061.000,0.00,3011004758,BEARING,
BALL BEARING QTY. 260.-TAPPER ROLLER BEARING QTY. 340.-NEEDLE ROLLER BEARING QTY. 260-CYLINDER ROLLER BEARING QTY. 20 (Dia 10 mm-175 mm)-HS 8482) NET TO NET,84821020,C969,1,880.000,0.00,3011004758,BEARING,
"BALL BEARING QTY. 2460.,-TAPPER ROLLER BEARING QTY 3280.,-NEEDLE ROLLER BEARING QTY. 492,-CYLINDERICAL ROLLER BEARING QTY. 492 Dia 10mm-175mm hsn 8482 NET TO NET",84821020,C969,1,6724.000,0.00,3011004758,BEARING,
BALL BEARING Qty 2387. -TAPPER ROLLER BEARING Qty 3255.-NEEDLE ROLLER BEARING Qty 3255.-CYLINDER ROLLER BEARING Qty. 1085. Dia 10mm-175mm hsn 8482 NET TO NET,84821020,C969,1,9982.000,0.00,3011004780,BEARING,
BALL BEARING Qty 2552.-TAPPER ROLLER BEARING Qty 3480.-NEEDLE ROLLER BEARING Qty 3480.-CYLINDER ROLLER BEARING Qty. 1160. ( Dia 10mm-175mm hsn 8482 NET TO NET,84821020,C969,1,10672.000,0.00,3011004779,BEARING,
